# ----------------------------------------
# Esportazione CSV rapporto
# Account: smooth-poll-vota-meglio
# Proprietà: votameglio-produzione
# ----------------------------------------
# 
# Data di inizio: 20221210
# Data di fine: 20230106

N° giorno,/,/gestione-sondaggi/,/voti-e-risultati/1/vota/giudizio-maggioritario/,/voti-e-risultati/1/risultati/giudizio-maggioritario/,/voti-e-risultati/2/vota/giudizio-maggioritario/
0000,0,0,0,0,0
0001,0,0,0,0,0
0002,0,0,0,0,0
0003,0,0,0,0,0
0004,0,0,0,0,0
0005,0,0,0,0,0
0006,0,0,0,0,0
0007,0,0,0,0,0
0008,0,0,0,0,0
0009,0,0,0,0,0
0010,0,0,0,0,0
0011,0,0,0,0,0
0012,0,0,0,0,0
0013,0,0,0,0,0
0014,0,0,0,0,0
0015,0,0,0,0,0
0016,0,0,0,0,0
0017,0,0,0,0,0
0018,0,0,0,0,0
0019,0,0,0,0,0
0020,0,0,0,0,0
0021,0,0,0,0,0
0022,0,0,0,0,0
0023,0,0,0,0,0
0024,0,0,0,0,0
0025,105,24,28,9,8
0026,83,16,2,7,2
0027,151,19,9,8,5

# Tutti gli utenti
# Data di inizio: 20221210
# Data di fine: 20230106

Percorso pagina e classe schermata,Visualizzazioni
/,339
/gestione-sondaggi/,59
/voti-e-risultati/1/vota/giudizio-maggioritario/,39
/voti-e-risultati/1/risultati/giudizio-maggioritario/,24
/voti-e-risultati/2/vota/giudizio-maggioritario/,15
/voti-e-risultati/3/vota/scelta-singola/,14
/voti-e-risultati/1/riepilogo-voto/giudizio-maggioritario/,11
/gestione-sondaggi/form/,7
/voti-e-risultati/3/riepilogo-voto/scelta-singola/,6
/voti-e-risultati/2/riepilogo-voto/giudizio-maggioritario/,5
/voti-e-risultati/2/risultati/giudizio-maggioritario/,5
/voti-e-risultati/3/risultati/scelta-singola/,4
/voti-e-risultati/5/vota/giudizio-maggioritario/,4
/voti-e-risultati/3/risultati/giudizio-maggioritario/,3
/voti-e-risultati/4/risultati/scelta-singola/,3
/.well-known/acme-challenge/f9BjK8O_0DkR_iBtTxwtx8lLYjokEpTeZ-zNczOkoPM,2
/voti-e-risultati/4/vota/scelta-singola/,2
/voti-e-risultati/5/riepilogo-voto/giudizio-maggioritario/,2
/smbfn,1
/sondaggi/5/risultati-maggioritario,1
/voti-e-risultati/4/riepilogo-voto/scelta-singola/,1
/voti-e-risultati/5/risultati/giudizio-maggioritario/,1

# Tutti gli utenti
# Data di inizio: 20221210
# Data di fine: 20230106

Percorso pagina e classe schermata,Visualizzazioni,Utenti,Visualizzazioni per utente,Durata media del coinvolgimento,Conteggio eventi,Conversioni,Entrate totali
/,339,52,6.519230769230769,85.76923076923077,991,0,0
/gestione-sondaggi/,59,21,2.8095238095238093,21.61904761904762,158,0,0
/voti-e-risultati/1/vota/giudizio-maggioritario/,39,22,1.7727272727272727,32.59090909090909,131,0,0
/voti-e-risultati/1/risultati/giudizio-maggioritario/,24,16,1.5,17.625,53,0,0
/voti-e-risultati/2/vota/giudizio-maggioritario/,15,10,1.5,31.7,48,0,0
/voti-e-risultati/3/vota/scelta-singola/,14,8,1.75,6,46,0,0
/voti-e-risultati/1/riepilogo-voto/giudizio-maggioritario/,11,11,1,6.090909090909091,30,0,0
/gestione-sondaggi/form/,7,6,1.1666666666666667,72.16666666666667,18,0,0
/voti-e-risultati/3/riepilogo-voto/scelta-singola/,6,4,1.5,2.75,18,0,0
/voti-e-risultati/2/riepilogo-voto/giudizio-maggioritario/,5,5,1,4.8,13,0,0
/voti-e-risultati/2/risultati/giudizio-maggioritario/,5,5,1,41.4,15,0,0
/voti-e-risultati/3/risultati/scelta-singola/,4,4,1,3.25,12,0,0
/voti-e-risultati/5/vota/giudizio-maggioritario/,4,3,1.3333333333333333,34,14,0,0
/voti-e-risultati/3/risultati/giudizio-maggioritario/,3,2,1.5,7,9,0,0
/voti-e-risultati/4/risultati/scelta-singola/,3,3,1,8.333333333333334,9,0,0
/.well-known/acme-challenge/f9BjK8O_0DkR_iBtTxwtx8lLYjokEpTeZ-zNczOkoPM,2,1,2,11,5,0,0
/voti-e-risultati/4/vota/scelta-singola/,2,2,1,3,7,0,0
/voti-e-risultati/5/riepilogo-voto/giudizio-maggioritario/,2,2,1,11,6,0,0
/smbfn,1,1,1,15,3,0,0
/sondaggi/5/risultati-maggioritario,1,1,1,2,3,0,0
/voti-e-risultati/4/riepilogo-voto/scelta-singola/,1,1,1,2,2,0,0
/voti-e-risultati/5/risultati/giudizio-maggioritario/,1,1,1,29,3,0,0
